robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,crowdnav,dwa,rlca,teb
2.0,0.267,0.37,0.63,0.0,43.35,15.0,50.0,90.0,1,30,3.0,0,0,0.0,0,288.0,0.0187,2250.0,2.3219,3,0.5273,0.7,0.0134,0.0,0.38,0.8,3,1,0,0,0
2.0,0.267,0.2,0.8,0.0,95.7,17.0,90.0,70.0,1,30,4.0,0,0,0.0,0,360.0,0.0226,3150.0,2.3219,1,0.5421,0.0,0.0,1.0,0.49,0.73,9,0,0,1,0
0.22,0.113,0.38,0.62,0.0,115.76,5.0,90.0,50.0,1,70,3.0,0,0,0.0,0,150.0,0.0223,2250.0,2.3219,11,0.4093,0.5,0.0078,0.0,0.52,0.41,6,0,0,1,0
0.22,0.113,0.54,0.46,0.0,281.92,12.0,70.0,70.0,0,0,0.0,1,40,4.0,0,270.0,0.02,2450.0,2.3219,8,0.5414,0.4,0.0145,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.3,0.7,0.0,118.58,16.0,90.0,70.0,0,0,0.0,1,10,6.0,0,240.0,0.0307,3150.0,2.3219,3,0.2983,0.7,0.0035,0.0,0.6,0.66,6,0,0,1,0
2.0,0.267,0.1,0.9,0.0,414.75,22.0,90.0,90.0,0,0,0.0,1,40,4.0,0,308.5714,0.037,4050.0,2.3219,18,0.3846,0.5,0.0137,0.0,0.6,0.51,12,0,0,1,0
2.0,0.267,0.9,0.03,0.07,31.31,4.0,50.0,70.0,0,0,0.0,1,30,4.0,0,205.7143,0.0155,1750.0,2.3219,7,0.512,0.6,0.0191,0.0,0.0,0.0,0,1,0,0,0
1.1,0.625,0.33,0.67,0.0,65.18,16.0,70.0,90.0,0,0,0.0,1,40,4.0,0,245.4545,0.0277,3150.0,2.3219,13,0.451,0.5,0.0336,0.0,0.62,0.65,6,1,0,0,0
1.1,0.625,0.59,0.26,0.15,20.67,12.0,70.0,50.0,0,0,0.0,1,30,4.0,0,150.0,0.0151,1750.0,2.3219,12,0.518,0.6,0.0161,0.0,0.0,0.0,0,1,0,0,0
2.0,0.267,0.8,0.2,0.0,89.96,10.0,90.0,90.0,0,0,0.0,1,10,4.0,0,180.0,0.0437,4050.0,2.3219,16,0.1396,0.5,0.0091,0.0,0.0,0.0,0,0,0,1,0
2.0,0.267,0.3,0.43,0.27,204.79,19.0,90.0,90.0,1,15,4.0,0,0,0.0,0,360.0,0.0234,4050.0,2.3219,1,0.6496,0.0,0.0,1.0,0.64,0.33,4,0,0,1,0
