robot_max_speed,robot_radius,success_rate,collision_rate,average_collision_amount,timeout_rate,timeout_collision_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,dyn_obstacle_occupation,crowdnav,dwa,rlca,teb
1.1,0.625,0.66,0.31,0.97,0.03,0.24,31.88,9,70,50,1,70,3,0,0,0,0,205.7143,0.0195,1750.0,2.3219,7,0.3091,0.7,0.0102,0.0,0.44,0.39,2,1,0,0,1,0
0.22,0.113,0.23,0.77,14.53,0.0,0.03,168.45,7,90,50,1,15,3,0,0,0,0,180.0,0.0142,2250.0,2.3219,2,0.6531,1.0,0.0001,0.0,0.65,0.6,6,4,0,0,1,0
2.0,0.267,0.17,0.0,0.0,0.83,0.0,194.41,26,50,90,0,0,0,1,0,6,0,180.0,0.0273,2250.0,2.3219,2,0.0613,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0
1.1,0.625,0.07,0.89,17.15,0.04,0.74,258.87,24,90,90,0,0,0,1,40,6,0,288.0,0.0273,4050.0,2.3219,12,0.5895,0.7,0.0203,0.0,0.59,0.67,8,5,0,0,1,0
0.22,0.113,0.55,0.45,6.62,0.0,0.07,120.05,5,90,50,0,0,0,1,10,6,0,154.2857,0.022,2250.0,2.3219,6,0.3573,0.3,0.0067,0.0,0.57,0.73,6,4,0,0,1,0
0.22,0.113,0.5,0.5,1.0,0.0,0.03,70.0,7,70,50,1,15,4,0,0,0,0,180.0,0.0124,1750.0,2.3219,2,0.6017,0.0,0.0,1.0,0.56,0.53,6,3,1,0,0,0
2.0,0.267,0.3,0.63,2.4,0.07,0.33,146.01,18,50,90,1,15,4,0,0,0,0,90.0,0.0161,2250.0,2.3219,4,0.5696,0.5,0.0163,0.0,0.65,0.58,3,2,0,0,1,0
1.1,0.625,0.13,0.87,10.27,0.0,0.5,165.11,17,90,70,1,30,3,0,0,0,0,270.0,0.0231,3150.0,2.3219,6,0.5559,0.3,0.0089,0.0,0.57,0.49,6,3,0,0,1,0
1.1,0.625,0.52,0.48,0.83,0.0,0.03,23.29,1,50,70,0,0,0,1,20,4,0,300.0,0.0172,1750.0,2.3219,12,0.428,0.4,0.0364,0.0,0.62,0.66,4,3,0,0,1,0
0.22,0.113,0.77,0.23,7.62,0.0,0.08,118.9,4,70,50,1,15,3,0,0,0,0,360.0,0.0099,1750.0,2.3219,1,0.7103,0.0,0.0,1.0,0.85,0.54,2,1,0,0,1,0
