robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb,0
1.1,0.625,0.5,0.5,0,99.64,1169480000000,70,70,1,45,4,0,0,0,0,90,0.0257,2450,2.3219,6,0.3402,0.3,0.0063,0,0.56,0.54,9,0,0,1,0,0.811581252
0.22,0.113,0.7,0.3,0,38.71,354000000000,50,50,1,30,5,0,0,0,0,120,0.0145,1250,2.3219,4,0.288,0.5,0.0071,0,0.43,0.4,4,0,0,1,0,0.710559658
0.22,0.113,0.17,0.83,0,232.56,2250000000000,70,70,1,30,3,0,0,0,0,360,0.0179,2450,2.3219,1,0.5902,0,0,1,0.34,0.73,3,0,0,1,0,0.738496291
0.22,0.113,0.38,0.62,0,93.65,719028000000,70,70,1,30,3,0,0,0,0,308.5714,0.0164,2450,2.3219,4,0.6129,0.8,0.0126,0,0.29,0.55,3,0,0,1,0,0.453897135
0.22,0.113,0.72,0.28,0,112.85,844207000000,70,70,1,70,4,0,0,0,0,72,0.0272,2450,2.3219,6,0.2714,0.5,0.0099,0,0.59,0.59,3,0,0,1,0,0.871544038
0.22,0.113,0.9,0.1,0,96.46,811000000000,70,70,1,70,5,0,0,0,0,180,0.0272,2450,2.3219,4,0.2257,0.5,0.0086,0,0.69,0.34,3,0,0,1,0,0.105847785
2,0.267,0.3,0,0.7,50,4640000000000,70,70,1,30,3,0,0,0,0,180,0.0201,2450,2.3219,2,0.519,0,0,1,0,0,0,0,0,1,0,0.028621735
0.22,0.113,0.28,0.66,0.07,87.47,1470000000000,70,70,0,0,0,1,30,2,0,98.1818,0.0287,2450,2.3219,38,0.2035,0.6,0.0138,0,0.62,0.49,3,0,0,1,0,0.716513276
0.22,0.113,0.3,0.7,0,158.11,1780000000000,50,50,1,15,3,0,0,0,0,180,0.0097,1250,2.3219,2,0.5936,0,0,1,0.62,0.57,6,0,0,1,0,0.95708445
2,0.267,0.3,0.33,0.37,293.63,5010000000000,90,90,1,45,4,0,0,0,0,135,0.0316,4050,2.3219,7,0.4705,0.6,0.0057,0,0,0,0,0,0,1,0,0.039977349
0.22,0.113,0.3,0.7,0,223.26,1740000000000,70,70,1,30,4,0,0,0,0,308.5714,0.0206,2450,2.3219,5,0.4755,0.4,0.0088,0,0,0,0,0,0,1,0,0.510424696
2,0.267,0.07,0.7,0.23,382.24,5660000000000,90,90,1,70,5,0,0,0,0,225,0.0399,4050,2.3219,12,0.282,0.4,0.0096,0,0.58,0.5,12,0,0,1,0,0.781277595
2,0.267,0.13,0,0.87,12.6,5580000000000,70,70,1,45,4,0,0,0,0,90,0.0231,2450,2.3219,4,0.4078,0.5,0.0043,0,0,0,0,0,0,1,0,0.073440066
0.22,0.113,0.33,0.67,0,134.1,1160000000000,90,90,1,70,3,0,0,0,0,216,0.0336,4050,2.3219,15,0.4567,0.7,0.0099,0,0.51,0.62,8,0,0,1,0,0.20472893
0.22,0.113,0.52,0.48,0,60.58,564000000000,50,50,1,45,3,0,0,0,0,90,0.0141,1250,2.3219,6,0.3552,0.5,0.0073,0,0.36,0.5,6,0,0,1,0,0.71458316
0.22,0.113,0.1,0.9,0,305.13,2230000000000,90,90,1,30,4,0,0,0,0,135,0.027,4050,2.3219,7,0.5681,0.4,0.0068,0,0.35,0.6,4,0,0,1,0,0.656467573
0.22,0.113,0.6,0.4,0,121.07,953867000000,90,90,1,45,5,0,0,0,0,270,0.0349,4050,2.3219,12,0.3951,0.4,0.0205,0,0.35,0.59,4,0,0,1,0,0.398930544
0.22,0.113,0.79,0.21,0,53.72,352000000000,50,50,1,15,4,0,0,0,0,180,0.01,1250,2.3219,2,0.5424,1,0.0002,0,0.58,0.55,4,0,0,1,0,0.619619265
0.22,0.113,0.2,0.8,0,364.14,4220000000000,90,90,1,15,3,0,0,0,0,360,0.0202,4050,2.3219,1,0.7131,0,0,1,0.62,0.51,12,0,0,1,0,0.209399046
0.22,0.113,0.07,0.9,0.03,668.18,4980000000000,90,90,1,45,3,0,0,0,0,320,0.0329,4050,2.3219,4,0.4947,0.8,0.0101,0,0,0,0,0,0,1,0,0.341105005
2,0.267,0.41,0.31,0.28,382.48,3810000000000,70,70,1,70,3,0,0,0,0,154.2857,0.0248,2450,2.3219,7,0.3673,0.7,0.0096,0,0,0,0,0,0,1,0,0.120154721
0.22,0.113,0.8,0.17,0.03,156.32,1513800000000,70,70,1,30,5,0,0,0,0,360,0.0208,2450,2.3219,2,0.4378,1,0.0085,0,0,0,0,0,0,1,0,0.9650898
2,0.267,0.47,0.03,0.5,349.23,3750000000000,70,70,1,30,4,0,0,0,0,120,0.0213,2450,2.3219,3,0.461,1,0.0078,0,0,0,0,0,0,1,0,0.639046326
0.22,0.113,0.5,0.5,0,141.37,1397650000000,70,50,1,45,3,0,0,0,0,216,0.0167,1750,2.3219,4,0.4454,0.8,0.0071,0,0.62,0.37,6,0,0,1,0,0.240641713
2,0.267,0.13,0.43,0.43,231.25,5150980000000,70,70,1,30,5,0,0,0,0,120,0.0228,2450,2.3219,3,0.4043,1,0.0063,0,0.48,0.57,3,0,0,1,0,0.529909794
0.22,0.113,0.5,0.47,0.03,170.25,1520000000000,70,70,1,30,4,0,0,0,0,240,0.0187,2450,2.3219,3,0.5318,0.7,0.0039,0,0,0,0,0,0,1,0,0.435547587
0.22,0.113,0.59,0.41,0,92.94,855000000000,50,50,1,30,3,0,0,0,0,360,0.0126,1250,2.3219,2,0.4388,1,0.0065,0,0.43,0.48,4,0,0,1,0,0.930118906
2,0.267,0.27,0.6,0.13,262.84,4430000000000,70,70,1,70,5,0,0,0,0,240,0.0266,2450,2.3219,4,0.2443,0.8,0.0074,0,0.58,0.56,6,0,0,1,0,0.079771753
0.22,0.113,0.9,0.1,0,29.26,282000000000,50,50,1,70,4,0,0,0,0,180,0.0151,1250,2.3219,2,0.2472,0,0,1,0.47,0.2,2,0,0,1,0,0.320760247
0.22,0.113,0.43,0.57,0,41.32,396529000000,70,70,1,15,3,0,0,0,0,360,0.0137,2450,2.3219,1,0.6859,0,0,1,0.47,0.48,9,0,0,1,0,0.329050824
1.1,0.625,0.37,0.6,0.03,167.47,1700000000000,70,70,1,45,4,0,0,0,0,360,0.0226,2450,2.3219,1,0.4316,0,0,1,0.7,0.45,6,0,0,1,0,0.164855857
1.1,0.625,0.66,0.34,0,47.77,636000000000,50,50,1,15,5,0,0,0,0,180,0.0102,1250,2.3219,2,0.5264,1,0.0023,0,0.57,0.64,4,0,0,1,0,0.163879028
0.22,0.113,0.41,0.59,0,108.86,1260000000000,90,90,1,70,5,0,0,0,0,200,0.0382,4050,2.3219,9,0.3175,0.7,0.0093,0,0,0,0,0,0,1,0,0.30683938
0.22,0.113,0.71,0.29,0,26.4,316993000000,50,50,1,70,3,0,0,0,0,180,0.0148,1250,2.3219,4,0.2964,1,0.0096,0,0.7,0.51,4,0,0,1,0,0.714574858
