robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb,0
0.22,0.113,0.27,0.73,0,126.77,1084850000000,90,90,1,70,5,0,0,0,0,257.1429,0.0368,4050,2.3219,12,0.3481,0.2,0.0103,0,0.41,0.62,12,0,0,1,0,0.00553069
0.22,0.113,0.47,0.53,0,204.09,1415920000000,90,90,1,70,4,0,0,0,0,252,0.036,4050,2.3219,14,0.3922,0.6,0.0166,0,0.56,0.47,8,0,0,1,0,0.309223897
0.22,0.113,0.27,0.73,0,212.91,2600290000000,70,70,1,70,4,0,0,0,0,288,0.0252,2450,2.3219,5,0.3153,0.4,0.0116,0,0.64,0.64,9,0,0,1,0,0.110440747
1.1,0.625,0.1,0.87,0.03,123.33,2770000000000,90,90,1,70,4,0,0,0,0,128.5714,0.0368,4050,2.3219,13,0.367,0.5,0.0124,0,0.6,0.51,8,0,0,1,0,0.457212706
0.22,0.113,0.5,0.47,0.03,91.68,1210000000000,90,90,0,0,0,1,30,2,0,77.8378,0.0453,4050,2.3219,37,0.1315,0.5,0.0136,0,0.72,0.58,4,0,0,1,0,0.260151329
0.22,0.113,0.7,0.3,0,106.63,833000000000,90,90,1,70,5,0,0,0,0,333.3333,0.0401,4050,2.3219,7,0.2863,0.6,0.012,0,0,0,0,0,0,1,0,0.176701724
0.22,0.113,0.38,0.62,0,211.75,1790000000000,50,50,0,0,0,1,30,2,0,80,0.0148,1250,2.3219,12,0.3384,0.4,0.0303,0,0.91,0.94,2,0,0,1,0,0.289622127
0.22,0.113,0.5,0.5,0,123.28,1090000000000,70,70,1,45,3,0,0,0,0,276.9231,0.0227,2450,2.3219,8,0.4282,0.5,0.012,0,0,0,0,0,0,1,0,0.325956605
0.22,0.113,0.27,0.73,0,223.47,1768400000000,90,90,1,30,4,0,0,0,0,240,0.0285,4050,2.3219,3,0.5573,0.7,0.0047,0,0.55,0.84,4,0,0,1,0,0.788792995
2,0.267,0.79,0.17,0.03,32.88,471541000000,50,50,1,15,3,0,0,0,0,180,0.0095,1250,2.3219,2,0.6168,0,0,1,0.35,0.44,2,0,0,1,0,0.835377004
0.22,0.113,0.93,0.07,0,45.42,335000000000,50,50,1,70,3,0,0,0,0,180,0.0147,1250,2.3219,4,0.2636,0.8,0.0083,0,0,0,0,0,0,1,0,0.067739172
2,0.267,0.07,0,0.93,14.3,5790000000000,90,90,1,45,4,0,0,0,0,160,0.0323,4050,2.3219,8,0.4637,0.8,0.0061,0,0,0,0,0,0,1,0,0.109457535
0.22,0.113,0.81,0.19,0,39.16,324000000000,50,50,1,45,3,0,0,0,0,144,0.0135,1250,2.3219,5,0.3952,0.6,0.0075,0,0,0,0,0,0,1,0,0.484348129
0.22,0.113,0.43,0.53,0.03,98.36,1330000000000,90,90,0,0,0,1,20,2,0,180,0.0455,4050,2.3219,29,0.1047,0.5,0.0135,0,0.6,0.66,12,0,0,1,0,0.848649291
0.22,0.113,0.34,0.66,0,228.2,1680000000000,70,70,1,45,4,0,0,0,0,135,0.0232,2450,2.3219,8,0.3849,0.5,0.0129,0,0.54,0.48,3,0,0,1,0,0.662525849
0.22,0.113,0.93,0.07,0,26.7,325000000000,50,50,0,0,0,1,0,4,0,180,0.0163,1250,2.3219,2,0.0784,1,0.0004,0,0.47,0.54,4,0,0,1,0,0.3214019
0.22,0.113,0.07,0.37,0.57,17.41,5790000000000,90,90,0,0,0,1,10,2,0,292.8814,0.0456,4050,2.3219,18,0.0717,0.4,0.0139,0,0.61,0.54,4,0,0,1,0,0.404638993
0.22,0.113,0.1,0.9,0,346,3190000000000,90,90,1,30,4,0,0,0,0,240,0.0264,4050,2.3219,7,0.5727,0.4,0.0078,0,0.46,0.4,4,0,0,1,0,0.403043963
0.22,0.113,0.5,0.5,0,40.61,381000000000,50,50,1,45,3,0,0,0,0,180,0.0144,1250,2.3219,5,0.3112,0.6,0.0092,0,0.62,0.67,4,0,0,1,0,0.597453433
2,0.267,0.17,0.63,0.2,350.32,4620000000000,50,50,1,30,5,0,0,0,0,240,0.0148,1250,2.3219,3,0.2732,0,0.0053,0,0.59,0.69,4,0,0,1,0,0.656485652
2,0.267,0.43,0.47,0.1,263.15,3780000000000,70,70,1,45,4,0,0,0,0,249.2308,0.023,2450,2.3219,11,0.3888,0.6,0.0099,0,0.81,0.47,6,0,0,1,0,0.406509029
