robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb
0.22,0.113,0.4,0.6,0,131.71,3130000000000,70,70,1,70,4,0,0,0,0,144,0.0266,2450,2.3219,6,0.2861,0.7,0.0078,0,0.45,0.65,3,1,0,0,0
0.22,0.113,0.4,0.6,0,197.98,3510000000000,90,90,1,30,5,0,0,0,0,288,0.0324,4050,2.3219,5,0.46,0.4,0.0087,0,0.43,0.6,12,1,0,0,0
0.22,0.113,0.57,0.43,0,139.98,2640000000000,90,90,1,70,5,0,0,0,0,120,0.0393,4050,2.3219,9,0.2867,0.7,0.0091,0,0.6,0.51,12,1,0,0,0
0.22,0.113,0.07,0.87,0.07,80.08,5610000000000,70,70,1,30,4,0,0,0,0,120,0.0213,2450,2.3219,3,0.4467,1,0.006,0,0.47,0.38,6,1,0,0,0
0.22,0.113,0.27,0.73,0,117.08,2970000000000,90,90,1,30,5,0,0,0,0,360,0.0283,4050,2.3219,1,0.5425,0,0,1,0.55,0.57,12,1,0,0,0
0.22,0.113,0.47,0.53,0,130.33,2230000000000,90,90,1,45,5,0,0,0,0,320,0.0335,4050,2.3219,6,0.4309,0.5,0.0097,0,0.58,0.67,12,1,0,0,0
0.22,0.113,0.27,0.73,0,166.57,3210000000000,90,90,1,70,3,0,0,0,0,327.2727,0.033,4050,2.3219,7,0.468,0.7,0.0082,0,0.64,0.5,8,1,0,0,0
0.22,0.113,0.83,0.17,0,81.45,1740000000000,70,70,0,0,0,1,0,4,0,180,0.0295,2450,2.3219,2,0.0563,0,0,1,0.56,0.44,6,1,0,0,0
0.22,0.113,0.67,0.33,0,58.37,1120000000000,50,50,1,15,4,0,0,0,0,180,0.01,1250,2.3219,3,0.5652,1,0.005,0,0.62,0.3,4,1,0,0,0
0.22,0.113,0.07,0.77,0.17,70.85,5400000000000,90,90,0,0,0,1,40,4,0,180,0.0383,4050,2.3219,17,0.3465,0.5,0.0097,0,0,0,0,1,0,0,0
0.22,0.113,0.6,0.33,0.07,54.89,2590000000000,50,50,1,30,3,0,0,0,0,120,0.0114,1250,2.3219,3,0.5012,0.7,0.0056,0,0,0,0,1,0,0,0
0.22,0.113,0.63,0.37,0,119.23,2800000000000,90,90,1,30,4,0,0,0,0,180,0.027,4050,2.3219,2,0.5746,0,0,1,0,0,0,1,0,0,0
1.1,0.625,0.9,0.1,0,38.81,1243210000000,70,50,1,15,4,0,0,0,0,90,0.012,1750,2.3219,4,0.6066,1,0.0048,0,0,0,0,1,0,0,0
2,0.267,0.5,0.5,0,54.48,1908560000000,50,50,0,0,0,1,10,4,0,313.0435,0.0145,1250,2.3219,5,0.296,0.4,0.022,0,0.63,0.51,6,1,0,0,0
0.22,0.113,0.2,0.77,0.03,152.84,4280000000000,70,70,1,30,4,0,0,0,0,180,0.0221,2450,2.3219,8,0.4582,0.6,0.007,0,0.53,0.34,6,1,0,0,0
0.22,0.113,0.2,0.67,0.13,62.93,4840000000000,50,50,1,30,3,0,0,0,0,288,0.0124,1250,2.3219,6,0.4364,0.3,0.0094,0,0,0,0,1,0,0,0
0.22,0.113,0.1,0.87,0.03,61.53,5390000000000,90,90,1,70,3,0,0,0,0,270,0.035,4050,2.3219,6,0.4422,0.5,0.0112,0,0.47,0.51,8,1,0,0,0
0.22,0.113,0.2,0.8,0,123.9,3640000000000,90,90,1,30,4,0,0,0,0,360,0.0278,4050,2.3219,1,0.5664,0,0,1,0.41,0.53,4,1,0,0,0
0.22,0.113,0.23,0.63,0.13,53.4,4430000000000,50,50,0,0,0,1,20,2,0,189.4737,0.0155,1250,2.3219,12,0.26,0.5,0.0136,0,0,0,0,1,0,0,0
0.22,0.113,0.57,0.43,0,95.4,2170000000000,70,70,1,70,3,0,0,0,0,200,0.0258,2450,2.3219,7,0.3402,0.6,0.0106,0,0.63,0.39,6,1,0,0,0
2,0.267,0.17,0.83,0,72.93,5064390000000,90,90,0,0,0,1,40,4,0,100.8,0.0369,4050,2.3219,22,0.3821,0.6,0.0133,0,0.65,0.55,8,1,0,0,0
