robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb
1.1,0.625,0.52,0.48,0,71.42,870000000000,50,50,1,30,4,0,0,0,0,180,0.0131,1250,2.3219,4,0.3752,0.5,0.0058,0,0.66,0.72,6,0,1,0,0
2,0.267,0.73,0.27,0,107.8,723053000000,70,70,1,15,5,0,0,0,0,360,0.0158,2450,2.3219,1,0.6071,0,0,1,0.68,0.59,6,0,1,0,0
0.22,0.113,0.6,0.4,0,102.23,2050000000000,90,90,1,70,4,0,0,0,0,120,0.0343,4050,2.3219,6,0.4198,0.7,0.0117,0,0.63,0.61,8,0,1,0,0
0.22,0.113,0.86,0.1,0.03,36.77,665652000000,50,50,1,30,5,0,0,0,0,180,0.0127,1250,2.3219,2,0.412,0,0,1,0.73,0.39,2,0,1,0,0
2,0.267,0.43,0.57,0,128.75,1570000000000,90,90,1,15,3,0,0,0,0,180,0.0199,4050,2.3219,2,0.7122,0,0,1,0.43,0.49,4,0,1,0,0
2,0.267,0.67,0.33,0,187.81,1270000000000,90,90,1,45,4,0,0,0,0,308.5714,0.0333,4050,2.3219,5,0.4468,0.2,0.0096,0,0.67,0.44,4,0,1,0,0
0.22,0.113,0.76,0.24,0,93.33,1640000000000,90,90,1,70,4,0,0,0,0,231.4286,0.0385,4050,2.3219,9,0.3377,0.6,0.0122,0,0.54,0.5,12,0,1,0,0
0.22,0.113,0.67,0.33,0,124.57,2100000000000,90,90,1,70,4,0,0,0,0,324,0.0342,4050,2.3219,5,0.4181,0.6,0.0074,0,0.69,0.47,8,0,1,0,0
2,0.267,0.28,0.72,0,253.95,2900000000000,90,90,1,30,3,0,0,0,0,308.5714,0.0252,4050,2.3219,4,0.6246,0.2,0.0158,0,0.47,0.56,12,0,1,0,0
2,0.267,1,0,0,36.35,356000000000,50,50,1,45,5,0,0,0,0,180,0.0147,1250,2.3219,2,0.2824,1,0.0005,0,0,0,0,0,1,0,0
0.22,0.113,0.6,0.4,0,152.44,1270000000000,90,90,1,45,3,0,0,0,0,180,0.0271,4050,2.3219,9,0.5898,0.4,0.0082,0,0.53,0.72,4,0,1,0,0
0.22,0.113,0.7,0.07,0.23,153.29,2300000000000,70,70,0,0,0,1,30,4,0,120,0.0223,2450,2.3219,11,0.4465,0.7,0.0073,0,0,0,0,0,1,0,0
0.22,0.113,0.77,0.23,0,139.51,727000000000,50,50,1,15,5,0,0,0,0,120,0.0117,1250,2.3219,3,0.4504,0.7,0.004,0,0.4,0.65,2,0,1,0,0
0.22,0.113,0.7,0.27,0.03,115.16,1940000000000,90,90,1,45,3,0,0,0,0,288,0.0292,4050,2.3219,6,0.5422,0.5,0.0068,0,0.5,0.59,4,0,1,0,0
0.22,0.113,0.86,0.14,0,61.71,1140000000000,70,70,1,70,5,0,0,0,0,360,0.0262,2450,2.3219,1,0.2537,0,0,1,0.55,0.39,3,0,1,0,0
1.1,0.625,0.63,0.37,0,37.51,620000000000,50,50,1,15,5,0,0,0,0,180,0.0097,1250,2.3219,2,0.5648,0,0,1,0.53,0.63,4,0,1,0,0
2,0.267,0.3,0.7,0,284.96,2260000000000,90,90,1,45,3,0,0,0,0,211.7647,0.0309,4050,2.3219,11,0.5046,0.5,0.0117,0,0.54,0.43,12,0,1,0,0
1.1,0.625,0.43,0.57,0,92.16,1728610000000,70,70,1,15,4,0,0,0,0,205.7143,0.0179,2450,2.3219,5,0.5586,0.4,0.0077,0,0.55,0.6,6,0,1,0,0
